Team,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Chelsea,Crystal Palace,Everton,Fulham,Ipswich town,Leicester City,Liverpool,Manchester City,Manchester United,Newcastle United,Nottingham Forest,Southampton,Spurs,West Ham United,Wolverhamton Wanderers
Arsenal,,4,1,,7,3,,,,,16,3,3,,1,,6,4,,6
Aston Villa,3,,8,,,,,8,5,3,5,2,,1,,,,1,3,4
Bournemouth,4,3,,3,,7,,7,,,2,6,6,,4,4,6,,,
Brentford,,,6,,,,5,,2,9,,2,5,2,,,7,6,3,12
Brighton,4,,,,,5,,5,,6,,5,4,5,5,3,,4,,6
Chelsea,3,,3,,7,,7,,,,,2,3,3,7,8,,,5,8
Crystal Palace,,,,6,,3,,5,5,,4,5,,4,,7,,6,2,7
Everton,,2,8,,1,,2,,5,8,5,,,,2,,5,1,4,
Fulham,,4,,12,,,7,3,,4,6,,4,2,11,2,,,5,
Ipswich Town,,5,,5,1,,,2,4,,2,2,1,,,,6,3,2,
Leicester City,3,3,2,,,,4,2,4,6,,,,5,,1,4,3,,
Liverpool,4,5,13,8,8,5,4,,,5,,,,3,,5,,,,6
Manchester City,11,,4,7,6,5,,,7,5,,,,,6,,8,,8,7
Manchester United,,4,,11,4,4,6,,5,,3,3,,,,,10,2,5,
Newcastle United,4,,5,,6,3,,3,5,,,,4,,,6,1,3,,6
Nottingham Forest,,,8,,3,9,6,,1,,5,3,,,3,,8,,6,5
Southampton,2,,3,6,,,,2,,3,7,,2,4,4,1,,,,0
Spurs,5,6,,10,3,,3,7,,5,7,,,10,6,,,,7,
West Ham United,,3,,3,,7,3,6,3,13,,,2,3,,2,,4,,
Wolverhampton Wanderers,3,4,,6,7,4,6,,,,,3,2,,5,3,4,,,
